vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,car_name_freq
6,55000,23.9,1582,126.2,5,650000,492
3,10000,21.21,1197,81.8,5,660000,781
5,68000,22.69,1995,190.0,5,2090000,152
1,8000,16.8,1497,113.4,5,1275000,28
6,65000,28.4,1248,74.0,5,495000,781
5,25000,18.9,1197,82.0,5,475000,580
6,70000,20.73,1373,91.1,5,530000,346
5,9500,23.84,1199,84.0,5,530000,145
6,9100,17.01,1591,121.3,5,650000,492
11,86000,17.0,1497,118.0,5,335000,757
8,78000,16.55,1968,147.51,5,1290000,99
10,60000,20.0,1399,68.0,5,300000,271
2,7883,21.5,1197,81.8,5,550000,717
8,50205,23.4,1248,74.0,5,390000,890
13,220000,13.6,2523,63.0,7,260000,211
4,58000,24.7,1047,69.0,5,395000,37
9,170000,12.05,2179,120.0,8,550000,273
3,15000,22.0,1197,81.8,5,650000,890
5,71245,28.4,1248,74.0,5,375000,781
2,7000,16.1,1353,138.0,5,1300000,28
3,20000,23.95,998,67.05,5,360000,778
1,8700,21.63,998,67.04,5,505000,237
2,25000,24.7,796,47.3,5,310000,778
6,42000,18.6,1197,81.86,5,545000,906
15,120000,13.6,2523,63.0,7,150000,211
3,50000,21.4,1197,83.1,5,580000,364
10,58000,18.9,998,67.1,5,250000,717
4,36000,17.43,1396,105.5,5,650000,492
3,30000,25.47,1248,88.5,7,410000,343
6,162828,22.77,1498,98.59,5,531000,374
3,7500,23.0,1498,98.96,5,890000,374
5,47227,14.0,2179,138.1,7,775000,100
3,52000,33.54,998,67.04,5,435000,717
9,74000,20.0,1399,68.05,5,185000,271
10,47000,15.96,2523,62.1,7,440000,211
6,50000,18.6,1197,81.83,5,450000,906
4,100000,21.4,1197,83.1,5,600000,364
7,35000,23.1,998,67.04,5,320000,237
5,50000,21.19,1396,88.73,5,700000,906
3,10000,18.16,1196,86.8,5,630000,65
5,10370,22.74,796,47.3,5,320000,778
8,62000,16.8,1497,116.3,5,465000,757
5,40000,18.6,1197,81.83,5,550000,906
4,60000,22.0,1197,81.8,5,445000,781
8,67231,14.0,2179,138.1,7,705000,100
8,64000,33.54,998,67.04,5,270000,717
7,63000,26.0,1498,98.6,5,475000,757
6,80000,12.55,2982,168.5,7,1755000,187
10,55000,16.9,1497,100.0,5,350000,757
5,11000,18.6,1197,81.83,5,575000,906
4,17000,23.01,999,67.0,5,360000,306
4,25000,24.7,796,47.3,5,275000,778
5,33350,19.44,1198,67.0,7,320000,85
6,62000,18.9,1197,82.0,5,370000,580
12,59000,17.5,1298,85.8,5,275000,890
7,86113,17.4,1497,117.3,5,550000,757
3,10000,28.4,1248,74.02,5,750000,890
6,92537,20.51,998,67.04,5,272000,717
2,27645,28.09,1248,88.5,5,951000,346
8,46242,20.92,998,67.1,5,280000,778
8,70000,16.8,1497,116.3,5,545000,757
1,6000,22.3,799,53.26,5,450000,306
4,64000,18.6,1197,81.83,5,480000,906
4,93000,15.4,1997,120.0,7,1060000,273
8,26200,22.74,796,47.3,5,235000,778
4,25000,21.4,1197,83.1,5,590000,364
3,50000,12.9,2755,174.5,7,2950000,187
13,80000,17.92,1086,62.1,5,110000,139
14,110000,13.5,2179,115.0,5,280000,273
5,55000,17.84,1395,147.51,5,1851000,99
3,25000,17.4,1497,117.3,5,750000,757
6,36000,18.9,1197,81.86,5,400000,580
6,40000,26.59,1248,74.0,5,530000,890
3,25000,16.55,2498,105.0,6,870000,62
3,30038,25.17,799,53.3,5,295000,306
4,53000,27.28,1047,69.0,5,370000,145
3,5000,21.21,1197,81.8,5,530000,781
4,35000,24.04,999,67.0,5,350000,306
8,62000,22.7,1498,89.84,5,470000,374
6,42000,25.83,1498,99.0,5,390000,65
6,80000,15.4,2179,120.0,7,920000,273
8,60000,15.1,2179,140.0,7,550000,330
7,45000,22.32,1582,126.32,5,635000,492
4,50000,16.0,2179,140.0,7,1250000,330
3,12000,24.7,796,47.3,5,300000,778
3,12000,18.0,1497,117.6,5,960000,757
3,15000,24.3,1248,88.5,5,750000,295
10,63000,16.47,1198,73.9,5,249000,373
3,30000,17.6,2179,153.86,7,1400000,41
10,160800,20.0,1399,68.0,5,250000,271
7,120000,22.32,1582,126.32,5,610000,492
5,78247,21.7,1498,98.96,5,545000,374
8,113000,22.32,1582,126.3,5,480000,492
7,52000,18.6,1197,81.83,5,395000,906
9,109000,12.99,2494,100.6,7,495000,545
4,90000,18.9,1197,82.0,5,470000,580
10,98000,22.07,1199,73.9,5,200000,373
5,20000,21.19,1396,88.73,5,699000,906
7,21717,20.51,998,67.04,5,340000,717
7,40000,20.45,1461,83.8,5,500000,218
4,50000,17.14,1497,117.6,5,1050000,757
5,90000,19.6,1461,108.45,5,600000,218
4,27876,20.4,1197,81.8,5,491000,781
5,56000,12.63,1999,177.0,5,2890000,51
13,57215,20.36,1197,78.9,5,160000,410
2,5400,18.27,998,118.35,5,985000,58
7,60000,23.4,1248,74.0,5,500000,890
4,24800,23.84,1199,84.0,5,335000,145
16,70000,19.7,796,46.3,5,85000,778
3,20000,17.1,1199,88.51,5,740000,175
8,34553,22.0,1197,81.8,5,375000,781
3,40000,24.3,1248,88.5,5,810000,295
11,350000,16.47,1198,73.9,5,173000,373
4,50000,24.3,1248,88.5,5,700000,295
5,70000,25.32,1198,77.0,6,310000,66
4,120000,15.4,1997,120.0,7,850000,273
8,90000,22.54,1396,88.76,5,285000,906
7,120000,23.4,1248,74.0,5,450000,890
4,80000,19.67,1582,126.2,5,1100000,336
4,30000,15.4,1997,120.0,7,1080000,273
7,66100,26.0,1498,98.6,5,530000,757
4,50000,28.4,1248,74.02,5,680000,890
4,42000,15.4,1997,120.0,7,1025000,273
4,55000,18.6,1197,81.83,5,650000,906
9,110699,20.36,1197,78.9,5,194000,410
2,5000,21.4,1197,83.1,5,686000,364
5,50000,22.74,796,47.3,5,200000,778
11,44000,19.1,1197,85.8,5,250000,890
3,90000,24.3,1248,88.5,5,730000,295
5,55000,17.01,1591,121.3,5,650000,492
4,45000,24.3,1248,88.5,5,790000,295
4,30000,21.4,1197,83.1,5,620000,364
8,50000,17.01,1591,121.3,5,510000,492
8,20000,15.37,1196,73.0,5,375000,125
4,19843,21.21,1197,81.8,5,620000,890
10,30000,11.4,2953,153.86,7,950000,47
4,52300,13.68,2393,147.51,7,1450000,545
5,40000,18.0,1497,117.3,5,845000,757
7,61500,23.4,1248,74.0,5,390000,890
6,59000,18.0,1198,86.7,5,395000,362
3,40000,18.9,1197,81.86,5,450000,580
8,60000,17.68,1968,174.33,5,1700000,64
8,61000,18.9,1197,82.0,5,325000,580
5,70000,25.32,1198,77.0,6,350000,66
8,63000,15.1,2179,140.0,7,650000,330
9,58000,12.3,1796,185.0,5,1250000,125
4,22000,28.4,1248,74.02,5,750000,890
11,57977,17.0,1497,118.0,5,299000,757
3,13000,12.19,1997,237.36,4,7000000,51
9,67000,17.33,1998,189.08,4,1325000,17
7,48242,20.77,1248,88.76,7,524000,343
9,68000,20.0,1399,68.05,5,169000,271
7,40000,20.77,1248,88.8,7,500000,343
9,98000,12.07,2967,241.4,7,2000000,23
8,113450,23.4,1248,74.0,5,380000,890
3,80000,20.51,998,67.0,5,400000,717
1,1000,20.3,1086,68.0,5,565000,139
6,20292,20.51,998,67.04,5,335000,717
11,67900,12.05,2179,120.0,7,300000,273
6,40000,15.4,1997,120.0,7,1051000,273
4,60000,24.0,1186,73.97,5,510000,580
3,25000,24.04,999,67.0,5,370000,306
15,70000,18.9,998,67.1,5,200000,717
3,21000,27.39,1248,74.0,5,625000,364
3,39000,16.36,2179,140.0,7,1290000,273
4,30000,15.8,1591,121.3,5,890000,336
9,61000,22.32,1582,126.3,5,420000,492
4,5743,20.4,1197,83.11,5,500000,781
3,24200,18.9,1197,81.86,5,600000,580
4,57000,27.39,1248,74.0,5,590000,364
10,58000,20.36,1197,78.9,5,190000,410
4,15000,19.44,1198,67.0,7,500000,85
4,10000,23.1,998,67.04,5,450000,237
6,100000,15.1,2179,140.0,7,650000,330
1,2000,11.29,2998,335.0,2,8250000,6
